MSEC,ICOUNT,"COUNT DELTA",COUNT/MSEC,"TOTAL AMP","AVG AMP",VOLT,JOULE
2599.491,7273,77,3.978916908,46.4,11.6,11.8,10.59560704
2619.578,7352,79,3.93289192,46.4,11.6,11.8,10.99803424
2640.151,7435,83,4.034414038,46.4,11.6,11.8,11.26412896
2659.656,7512,77,3.947705716,46.4,11.6,11.8,10.6793776
2679.232,7591,79,4.035553739,46,11.5,11.8,10.6258528
2699.595,7673,82,4.026911555,46,11.5,11.8,11.0530364
2719.164,7753,80,4.088098523,45.6,11.4,11.8,10.52968752
2740.384,7838,85,4.005655042,45.6,11.4,11.8,11.4180576
2758.289,7909,71,3.965372801,45.6,11.4,11.8,9.6343224
2781.848,8005,96,4.074875844,45.6,11.4,11.8,12.67662672
2802.344,8087,82,4.00078064,44.4,11.1,11.8,10.73826432
2820.909,8161,74,3.985995152,44.4,11.1,11.8,9.7265748
2838.575,8233,72,4.075625495,42.9,10.725,11.8,8.94288252
2858.557,8313,80,4.003603243,42.9,10.725,11.9,10.20101082
2878.656,8395,82,4.079804965,42.9,10.725,11.8,10.17451578
2899.041,8479,84,4.120676968,42.9,10.725,11.9,10.40674635
2919.509,8561,82,4.006253664,42.5,10.625,11.9,10.351691
2939.059,8641,80,4.092071611,42.5,10.625,11.8,9.804325
2958.895,8724,83,4.184311353,42.5,10.625,11.8,9.947754
2979.861,8807,83,3.958790423,42.5,10.625,11.9,10.6035545
2999.122,8887,80,4.153470744,41.5,10.375,11.8,9.4321117
3019.411,8970,83,4.090886687,41.5,10.375,11.9,10.01972265
3038.495,9046,76,3.982393628,40.6,10.15,11.9,9.22024376
3058.025,9128,82,4.198668715,40.6,10.15,11.9,9.4357242
3079.173,9213,85,4.019292605,40.6,10.15,11.9,10.21744472
3098.154,9291,78,4.10937253,40.6,10.15,11.8,9.09341748
3118.881,9376,85,4.100931153,41.3,10.325,11.9,10.18669869
3139.966,9464,88,4.173583116,41.3,10.325,11.9,10.36264495
3158.937,9541,77,4.05882663,41.3,10.325,11.9,9.32367737
3179.618,9625,84,4.061699144,40.4,10.1,11.9,9.94259756
